Incident Number,Division,Nature of Call,Priority,Date_Time,Date,Time,Unit Num,Block,Location,Beat,Reporting Area,Status
25-0280079,North Central,41/40 - Other - In Progress,1,,02/16/2025,22:34:11,T244,5900,BELT LINE RD,632,1009,At Scene
25-0281888,Southwest,11B - Burg of Bus,3,,02/17/2025,09:38:53,B431,5600,Bernal Dr,425,4053,At Scene
25-0281995,South Central,6X - Major Dist (Violence),2,,02/17/2025,10:35:43,B753,2400,Berwick Ave,715,4173,At Scene
25-0281995,South Central,6X - Major Dist (Violence),2,,02/17/2025,10:35:43,D713,2400,Berwick Ave,715,4173,At Scene
25-0282149,Northwest,7CE - City Equipment Accident,3,,02/17/2025,10:19:50,B550,1900,Medical District Dr,514,4452,At Scene
25-0282214,South Central,6X - Major Dist (Violence),2,,02/17/2025,10:44:01,B754,200,Guthrie St,721,4214,At Scene
25-0281533,South Central,6X - Major Dist (Violence),2,,02/17/2025,08:38:40,D723,6100,Moonglow Dr,753,4352,At Scene
25-0282285,South Central,6X - Major Dist (Violence),2,,02/17/2025,11:29:06,B746,5800,Bonnie View Rd,757,4338,At Scene
25-0282276,Central,6X - Major Dist (Violence),2,,02/17/2025,11:33:41,B112,3100,Swiss Ave,154,2032,At Scene
25-0282276,Central,6X - Major Dist (Violence),2,,02/17/2025,11:33:41,B140,3100,Swiss Ave,154,2032,At Scene
25-0282411,Northwest,40/01 - Other,2,,02/17/2025,11:37:58,B542,2900,Blystone Ln,535,3042,At Scene
25-0282391,South Central,07 - Minor Accident,3,,02/17/2025,11:39:42,D724,100,W Camp Wisdom Rd,743,4364,At Scene
25-0282378,Northeast,40/01 - Other,2,,02/17/2025,11:39:06,B255,7400,Greenville Ave,212,1063,At Scene
25-0282398,North Central,6X - Major Dist (Violence),2,,02/17/2025,11:48:57,B633,14100,Noel Rd,631,1008,At Scene
25-0282341,Southwest,7X - Major Accident,2,,02/17/2025,11:54:22,D414,,S Walton Walker Blvd / Exchange Service Dr,437,4445,At Scene
25-0282486,Southwest,24 - Abandoned Property,4,,02/17/2025,11:59:06,B457,5400,Preakness Ln,431,4441,At Scene
